time,xref,x,yref,y,zref,z,ex,ey,ez,e_norm,roll,pitch,yaw,u1,u2,u3,u4,w1,w2,w3,w4
0.5700000000000001,0.0,2.410334074105166e-14,0.0,8.284275820126059e-15,1.1400000000000001,0.04597187525526663,-2.410334074105166e-14,-8.284275820126059e-15,1.0940281247447334,1.0940281247447334,3.827530031714811e-14,1.4754036303633833e-14,1.0346000455936985e-10,16.65891927390763,-16.658919273175822,16.658919273906356,-16.65891927317524,16.660123126731506,-16.660123125998062,16.660123126729236,-16.660123125998314
0.58,0.0,2.5153951579915135e-14,0.0,1.1405460296353952e-14,1.16,0.05160078378017191,-2.5153951579915135e-14,-1.1405460296353952e-14,1.108399216219828,1.108399216219828,5.718164176262042e-14,1.7673181005592702e-14,1.0446379854155377e-10,16.689246469615263,-16.689246468874316,16.689246469611675,-16.689246468875506,16.690388162986164,-16.690388162245096,16.69038816298178,-16.690388162246542
0.59,0.0,2.6282659693637963e-14,0.0,1.3847030325742376e-14,1.18,0.05761393537064051,-2.6282659693637963e-14,-1.3847030325742376e-14,1.1223860646293595,1.1223860646293595,4.974181416829848e-14,2.066999103710202e-14,1.0483257567183415e-10,16.715204198206337,-16.715204197463944,16.715204198203736,-16.715204197463795,16.71628591197531,-16.716285911233825,16.716285911972438,-16.716285911233182
0.6,0.0,2.758585006341172e-14,0.0,1.5399983571954886e-14,1.2,0.06401644931684977,-2.758585006341172e-14,-1.5399983571954886e-14,1.1359835506831502,1.1359835506831502,-3.619610846702653e-16,2.2545400644156793e-14,1.0356352483253309e-10,16.737035256931012,-16.7370352562046,16.73703525693528,-16.737035256197302,16.73805920742133,-16.738059206695684,16.73805920742631,-16.738059206686987
0.61,0.0,2.9063931085404325e-14,0.0,1.67077549240354e-14,1.22,0.07081098225048939,-2.9063931085404325e-14,-1.67077549240354e-14,1.1491890177495105,1.1491890177495105,-6.765173476400554e-14,2.222259965164085e-14,1.0092975186295567e-10,16.754950954241323,-16.754950953542327,16.754950954254372,-16.754950953526222,16.755919349976054,-16.755919349277168,16.755919349990904,-16.75591934925881
0.62,0.0,3.0616556094353136e-14,0.0,1.8961103372882773e-14,1.24,0.07800000754605423,-3.0616556094353136e-14,-1.8961103372882773e-14,1.1619999924539457,1.1619999924539457,-9.394565763816809e-14,1.8823862029556395e-14,9.856248028204838e-11,16.76915906830294,-16.76915906762162,16.769159068317464,-16.769159067605113,16.77007411541836,-16.770074114737767,16.770074115435243,-16.770074114718646
0.63,0.0,3.2340279111887517e-14,0.0,2.2083327655353416e-14,1.26,0.08558772409749263,-3.2340279111887517e-14,-2.2083327655353416e-14,1.1744122759025073,1.1744122759025073,-9.133380327619992e-14,1.1122672346505724e-14,9.544946201287498e-11,16.77989108471465,-16.77989108405051,16.779891084725303,-16.779891084039786,16.780755005920273,-16.780755005258175,16.780755005933365,-16.780755005244963
0.64,0.0,3.4766356567035055e-14,0.0,2.610885862060299e-14,1.28,0.09357502321281604,-3.4766356567035055e-14,-2.610885862060299e-14,1.186424976787184,1.186424976787184,-8.319634899857882e-14,2.131185060102671e-14,9.178176810669068e-11,16.787330783237355,-16.787330782590224,16.7873307832443,-16.78733078259363,16.78814575245177,-16.788145751808525,16.788145752459844,-16.788145751806947
0.65,0.0,3.8252943808734963e-14,0.0,3.1190568597871643e-14,1.3,0.10196369902494579,-3.8252943808734963e-14,-3.1190568597871643e-14,1.1980363009750543,1.1980363009750543,-8.043635974271844e-14,6.358015532042381e-14,8.765593775483799e-11,16.791675161326765,-16.791675160696162,16.791675161333064,-16.791675160724214,16.79244332329999,-16.792443322675666,16.79244332330406,-16.79244332269158
0.66,0.0,4.319519601267908e-14,0.0,3.745601341207032e-14,1.32,0.1107553526907384,-4.319519601267908e-14,-3.745601341207032e-14,1.2092446473092617,1.2092446473092617,-9.662384507906213e-14,1.5382718870567487e-13,8.318871604476126e-11,16.793118391196817,-16.79311839058208,16.793118391209,-16.79311839064745,16.793841857316004,-16.793841856710436,16.793841857319848,-16.793841856749626
0.67,0.0,4.928704346936211e-14,0.0,4.453995906358515e-14,1.34,0.11994923244036751,-4.928704346936211e-14,-4.453995906358515e-14,1.2200507675596326,1.2200507675596326,-7.562831250928931e-14,1.8870124470909003e-13,7.878485824841292e-11,16.79181803440995,-16.791818033814803,16.79181803442529,-16.791818033906416,16.79249883310859,-16.792498832521574,16.792498833112944,-16.79249883258464
0.68,0.0,5.670571340457773e-14,0.0,5.221818175030728e-14,1.36,0.12954498073150658,-5.670571340457773e-14,-5.221818175030728e-14,1.2304550192684935,1.2304550192684935,-5.445892458440226e-15,1.2930831303483044e-13,7.478764493348668e-11,16.787938473165436,-16.78793847259629,16.787938473180255,-16.787938472691906,16.788578557740536,-16.7885785571721,16.788578557747844,-16.78857855725604
0.6900000000000001,0.0,6.528766071614688e-14,0.0,6.000653453844713e-14,1.3800000000000001,0.13954097024423776,-6.528766071614688e-14,-6.000653453844713e-14,1.2404590297557623,1.2404590297557623,1.6020210176507154e-13,-1.2302291466561231e-13,7.169442334153856e-11,16.781624403069593,-16.781624402537894,16.781624403073025,-16.781624402590964,16.782225624868722,-16.78222562431927,16.78222562488039,-16.78222562441477
